"long","lat","country"
8.538,47.369,"che"
-83.044,39.987,"usa"
116.389,39.912,"chn"
131.423,31.908,"jpn"
-96.785,32.995,"usa"
-92.279,34.748,"usa"
-121.079,38.715,"usa"
-104.864,38.853,"usa"
-122.265,37.879,"usa"
24.924,60.172,"fin"
-77.033,38.899,"usa"
-119.19,34.162,"usa"
-117.03,32.809,"usa"
-83.044,39.987,"usa"
-43.919,-19.868,"bra"
-0.083,51.515,"gbr"
-78.697,35.804,"usa"
121.509,25.039,"twn"
-73.252,41.218,"usa"
-73.942,40.817,"usa"
-95.333,29.619,"usa"
-83.044,39.987,"usa"
126.993,37.563,"kor"
-73.639,45.606,"can"
2.241,48.835,"fra"
-122.249,37.532,"usa"
-79.425,43.677,"can"
9.187,45.473,"ita"
-76.874,38.807,"usa"
139.77,35.676,"jpn"
10.99,45.433,"ita"
-77.29,38.522,"usa"
-118.126,33.89,"usa"
116.389,39.912,"chn"
111.649,40.814,"chn"
6.662,46.51,"che"
-71.085,42.364,"usa"
2.241,48.835,"fra"
-122.265,37.879,"usa"
-43.186,-22.907,"bra"
-66.92,10.495,"ven"
-76.493,38.978,"usa"
-74.627,40.478,"usa"
47.976,29.331,"kwt"
2.345,48.855,"fra"
-83.044,39.987,"usa"
41.982,45.039,"rus"
116.389,39.912,"chn"
9.181,48.777,"deu"
14.433,50.079,"cze"
12.496,41.903,"ita"
-46.629,-23.534,"bra"
-83.194,42.333,"usa"
-105.015,39.962,"usa"
12.853,56.431,"swe"
-74.086,4.627,"col"
9.1,39.256,"ita"
116.389,39.912,"chn"
57.497,-20.166,"mus"
-75.699,45.423,"can"
114.167,22.276,"hkg"
139.77,35.676,"jpn"
72.835,18.942,"ind"
4.906,52.378,"nld"
-46.629,-23.534,"bra"
-77.18,38.887,"usa"
-105.015,39.962,"usa"
4.906,52.378,"nld"
3.175,50.692,"fra"
26.103,44.434,"rou"
-95.333,29.619,"usa"
112.552,37.893,"chn"
36.815,-1.285,"ken"
-82.719,27.979,"usa"
-83.044,39.987,"usa"
139.77,35.676,"jpn"
-73.252,41.218,"usa"
25.28,54.689,"ltu"
9.181,48.777,"deu"
116.389,39.912,"chn"
116.389,39.912,"chn"
10.604,59.905,"nor"
106.523,29.544,"chn"
-83.044,39.987,"usa"
-117.25,32.856,"usa"
8.241,49.98,"deu"
36.815,-1.285,"ken"
72.835,18.942,"ind"
-83.044,39.987,"usa"
-58.417,-34.612,"arg"
-83.194,42.333,"usa"
46.727,24.642,"sau"
151.207,-33.867,"aus"
16.369,48.203,"aut"
116.389,39.912,"chn"
-83.044,39.987,"usa"
-75.164,39.952,"usa"
-83.044,39.987,"usa"
116.389,39.912,"chn"
25.743,62.24,"fin"
125.313,43.881,"chn"
126.993,37.563,"kor"
126.993,37.563,"kor"
-122.436,37.786,"usa"
77.6,12.971,"ind"
-74.202,40.722,"usa"
121.542,29.874,"chn"
-74.086,4.627,"col"
-73.639,45.606,"can"
5.694,50.856,"nld"
4.906,52.378,"nld"
8.459,49.031,"deu"
-74.086,4.627,"col"
-118.239,34.063,"usa"
-46.629,-23.534,"bra"
-46.629,-23.534,"bra"
-122.52,45.632,"usa"
17.138,48.145,"svk"
13.646,52.383,"deu"
-96.86,46.862,"usa"
121.509,25.039,"twn"
2.273,48.73,"fra"
153.017,-27.475,"aus"
56.252,58.02,"rus"
120.165,30.253,"chn"
4.333,50.833,"bel"
139.707,35.691,"jpn"
-99.145,19.42,"mex"
-78.742,35.408,"usa"
-84.322,33.827,"usa"
120.165,30.253,"chn"
39.28,-6.82,"tza"
16.525,57.995,"swe"
-93.084,44.966,"usa"
-87.625,41.878,"usa"
-77.518,38.908,"usa"
13.191,55.705,"swe"
18.064,59.333,"swe"
-75.725,45.33,"can"
104.389,52.268,"rus"
-122.335,47.612,"usa"
2.195,48.888,"fra"
126.993,37.563,"kor"
31.251,30.059,"egy"
14.503,46.051,"svn"
4.906,52.378,"nld"
100.516,13.749,"tha"
121.483,31.236,"chn"
57.497,-20.166,"mus"
-123.159,49.706,"can"
45.999,51.543,"rus"
125.313,43.881,"chn"
104.071,30.669,"chn"
0.08,51.587,"gbr"
-122.168,47.615,"usa"
8.585,52.092,"deu"
-77.461,39.018,"usa"
-84.322,33.827,"usa"
-86.045,39.783,"usa"
6.79,51.525,"deu"
22.269,60.451,"fin"
139.77,35.676,"jpn"
118.768,32.048,"chn"
9.187,45.473,"ita"
-77.461,39.018,"usa"
-46.629,-23.534,"bra"
7.876,45.467,"ita"
-121.856,37.217,"usa"
-6.259,53.345,"irl"
139.77,35.676,"jpn"
9.187,45.473,"ita"
153.017,-27.475,"aus"
116.389,39.912,"chn"
-77.033,38.899,"usa"
139.77,35.676,"jpn"
-47.283,-22.8,"bra"
21.007,52.253,"pol"
118.583,24.914,"chn"
-122.335,47.612,"usa"
-117.909,33.68,"usa"
-3.685,40.426,"esp"
12.496,41.903,"ita"
7.226,50.645,"deu"
5.732,45.194,"fra"
-117.03,32.809,"usa"
113.237,23.125,"chn"
-49.231,-25.525,"bra"
-83.044,39.987,"usa"
-83.044,39.987,"usa"
-118.239,34.063,"usa"
104.917,11.583,"khm"
-84.322,33.827,"usa"
26.103,44.434,"rou"
-83.044,39.987,"usa"
-94.402,39.009,"usa"
-117.03,32.809,"usa"
-43.186,-22.907,"bra"
-106.335,31.772,"usa"
-99.145,19.42,"mex"
-3.685,40.426,"esp"
30.527,50.441,"ukr"
106.717,26.583,"chn"
57.497,-20.166,"mus"
139.77,35.676,"jpn"
121.307,24.992,"twn"
174.768,-36.847,"nzl"
-96.709,32.95,"usa"
-87.937,41.801,"usa"
-2.571,53.394,"gbr"
-84.322,33.827,"usa"
-96.785,32.995,"usa"
116.968,36.656,"chn"
-80.236,25.726,"usa"
-105.251,39.818,"usa"
