"long","lat","country"
114.167,22.276,"hkg"
151.207,-33.867,"aus"
8.538,47.369,"che"
8.538,47.369,"che"
-74.202,40.722,"usa"
-74.086,4.627,"col"
121.307,24.992,"twn"
101.713,3.151,"mys"
57.497,-20.166,"mus"
-104.884,39.613,"usa"
2.188,48.699,"fra"
-83.044,39.987,"usa"
-92.045,32.548,"usa"
116.389,39.912,"chn"
-46.629,-23.534,"bra"
-86.045,39.783,"usa"
-81.334,28.759,"usa"
-87.625,41.878,"usa"
131.423,31.908,"jpn"
-96.785,32.995,"usa"
152.999,-27.534,"aus"
116.849,38.304,"chn"
-92.279,34.748,"usa"
103.849,1.3,"sgp"
-83.044,39.987,"usa"
-79.26,43.875,"can"
-74.202,40.722,"usa"
144.35,-38.111,"aus"
-83.044,39.987,"usa"
9.936,49.793,"deu"
116.389,39.912,"chn"
121.021,14.559,"phl"
139.77,35.676,"jpn"
-121.079,38.715,"usa"
-104.864,38.853,"usa"
7.876,45.467,"ita"
-83.044,39.987,"usa"
-122.265,37.879,"usa"
8.515,47.166,"che"
-92.373,35.083,"usa"
-43.186,-22.907,"bra"
-86.546,34.617,"usa"
113.493,52.046,"rus"
8.46,49.493,"deu"
18.516,-34.046,"zaf"
-117.378,47.657,"usa"
-6.259,53.345,"irl"
153.017,-27.475,"aus"
-77.033,38.899,"usa"
11.074,49.454,"deu"
1.335,36.165,"dza"
-46.629,-23.534,"bra"
139.77,35.676,"jpn"
-2.426,53.623,"gbr"
24.924,60.172,"fin"
112.831,35.503,"chn"
139.77,35.676,"jpn"
-77.366,38.947,"usa"
116.389,39.912,"chn"
-96.785,32.995,"usa"
121.509,25.039,"twn"
-88.923,39.827,"usa"
-83.736,42.229,"usa"
-77.033,38.899,"usa"
-71.437,42.59,"usa"
-83.044,39.987,"usa"
-83.044,39.987,"usa"
2.345,48.855,"fra"
-90.193,38.631,"usa"
116.389,39.912,"chn"
126.884,37.568,"kor"
-119.19,34.162,"usa"
12.496,41.903,"ita"
-119.133,46.195,"usa"
-117.03,32.809,"usa"
-83.044,39.987,"usa"
116.389,39.912,"chn"
-43.919,-19.868,"bra"
-76.092,36.846,"usa"
-0.083,51.515,"gbr"
-78.697,35.804,"usa"
-46.629,-23.534,"bra"
-117.765,33.67,"usa"
-99.145,19.42,"mex"
121.509,25.039,"twn"
-85.809,30.184,"usa"
-73.252,41.218,"usa"
-73.942,40.817,"usa"
-95.333,29.619,"usa"
-83.044,39.987,"usa"
-95.522,30.028,"usa"
-46.629,-23.534,"bra"
-75.58,6.245,"col"
126.993,37.563,"kor"
121.483,31.236,"chn"
-80.236,25.726,"usa"
-75.387,40.044,"usa"
-74.202,40.722,"usa"
-92.22,46.841,"usa"
39.203,-6.165,"tza"
-84.322,33.827,"usa"
126.993,37.563,"kor"
14.433,50.079,"cze"
9.222,49.142,"deu"
116.389,39.912,"chn"
-73.639,45.606,"can"
-7.999,31.628,"mar"
-87.886,43.083,"usa"
-77.461,39.018,"usa"
-46.629,-23.534,"bra"
116.968,36.656,"chn"
-76.608,39.298,"usa"
2.241,48.835,"fra"
-99.145,19.42,"mex"
-122.249,37.532,"usa"
77.6,12.971,"ind"
-86.665,35.865,"usa"
-83.044,39.987,"usa"
112.969,28.198,"chn"
-122.335,47.612,"usa"
-79.425,43.677,"can"
-122.053,37.323,"usa"
9.187,45.473,"ita"
